U_ID,NEG_ID,REQ_ID,Price,Bid Time,Reject_Reason,Surrogate_id,Surrogate_comments,REQ_ID,ITEM_ID,PRODUCT_NAME,PRICE,REVISED_PRICE,UNIT_PRICE,REV_UNIT_PRICE,BID_TIME,TYPE
12815,25483,73146,null,null,588000.0,210.0,203.0,108660,12216,100300.0,null,null,0.0,null,null,null
12815,25483,73146,null,null,588000.0,210.0,202.0,108667,12216,100064.0,null,null,0.0,null,null,null
12815,25483,73146,null,null,588000.0,210.0,201.0,108918,12296,224200.0,null,null,0.0,null,null,null
12815,15849,47352,null,null,177.0,50.0,50.0,108978,12296,224200.0,null,null,null,null,null,null
12815,15849,47352,null,null,177.0,50.0,48.0,108989,12296,220264.7,null,null,0.0,null,null,null
12815,16062,47990,null,null,8850.0,300.0,300.0,108990,12296,220205.7,null,null,0.0,null,null,null
12815,16062,47990,null,null,8850.0,300.0,290.0,108993,12296,219733.7,null,null,0.0,null,null,null
12815,16062,47990,null,null,8850.0,300.0,285.0,108994,12296,219615.7,null,null,0.0,null,null,null
12815,16062,47990,null,null,8850.0,300.0,280.0,108996,12296,219025.7,null,null,0.0,null,null,null
12815,16062,47990,null,null,8850.0,300.0,275.0,109000,12296,214972.4,null,null,0.0,null,null,null
12815,16263,48520,null,null,2184.0,0.65,0.65,109001,12296,213603.6,null,null,0.0,null,null,null
12815,16263,48519,null,null,2184.0,0.65,0.65,109003,12296,212234.8,null,null,0.0,null,null,null
12815,16311,48719,null,null,637.2,18.0,18.0,109005,12296,208299.5,null,null,0.0,null,null,null
12815,16311,48719,null,null,637.2,18.0,16.0,109008,12296,206930.7,null,null,0.0,null,null,null
12815,16311,48719,null,null,637.2,18.0,14.0,109010,12296,206246.3,null,null,0.0,null,null,null
12815,16657,49522,null,null,413.0,70.0,70.0,109015,12296,204672.18,null,null,0.0,null,null,null
12815,16657,49521,null,null,1008.0,450.0,450.0,109018,12296,204613.18,null,null,0.0,null,null,null
12815,17045,50742,null,null,3186.0,27.0,27.0,109020,12296,204589.58,null,null,0.0,null,null,null
12815,17048,50748,null,null,240800.0,215.0,215.0,109023,12296,204554.18,null,null,0.0,null,null,null
12815,17048,50748,null,null,240800.0,215.0,211.0,109024,12296,204530.58,null,null,0.0,null,null,null
12815,17045,50742,null,null,3186.0,27.0,24.0,109030,12296,204158.88,null,null,0.0,null,null,null
12815,17048,50748,null,null,240800.0,215.0,213.0,109032,12296,203332.88,null,null,0.0,null,null,null
12815,17045,50742,null,null,3186.0,27.0,20.0,109038,12296,202093.88,null,null,0.0,null,null,null
12815,17045,50742,null,null,3186.0,27.0,19.0,109523,12402,274400.0,null,null,0.0,null,null,null
12815,17045,50742,null,null,3186.0,27.0,18.0,109553,12402,274400.0,null,null,null,null,null,null
12815,17045,50742,null,null,3186.0,27.0,23.0,110124,12476,61360.0,null,null,17125.0,null,null,null
12815,17045,50742,null,null,3186.0,27.0,22.0,110126,12476,61360.0,null,null,null,null,null,null
12815,17045,50742,null,null,3186.0,27.0,21.0,111569,12706,66840.2,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,114000.0,111768,12706,66840.2,null,null,null,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,113000.0,111863,12706,66397.7,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,111500.0,111864,12706,65955.2,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,111000.0,111866,12706,65070.2,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,110500.0,111867,12706,63742.7,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,110000.0,111874,12706,63300.2,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,109000.0,111875,12706,62857.7,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,108000.0,111876,12706,62845.9,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,107000.0,112285,12801,1960.0,null,null,0.0,null,null,null
12815,17224,51294,null,null,0.0,0.0,0.0,112424,12801,1960.0,null,null,null,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,115000.0,113142,12964,6566.7,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,106000.0,113164,12964,6566.7,null,null,null,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,112000.0,113208,12964,6531.3,null,null,0.0,null,null,null
12815,17224,51293,null,null,135700.0,115000.0,105000.0,113209,12964,6501.8,null,null,0.0,null,null,null
12815,17267,51424,null,null,1062.0,4.0,4.0,113220,12964,6472.3,null,null,0.0,null,null,null
12815,17403,51835,null,null,1062.0,4.0,4.0,114856,13196,24780.0,null,null,0.0,null,null,null
12815,17792,52767,null,null,1239.0,350.0,350.0,115260,13196,24780.0,null,null,null,null,null,null
12815,17792,52766,null,null,8260.0,140.0,140.0,115281,13267,17700.0,null,null,0.0,null,null,null
12815,18041,53327,null,null,47908.0,70.0,70.0,115291,13196,24072.0,null,null,0.0,null,null,null
12815,18069,53420,null,null,295.0,25.0,25.0,115292,13196,23364.0,null,null,0.0,null,null,null
12815,18069,53419,null,null,1711.0,29.0,29.0,115313,13267,17700.0,null,null,null,null,null,null
12815,18739,55354,null,null,0.0,0.0,0.0,116670,13483,6844.0,null,null,0.0,null,null,null
12815,18739,55353,null,null,2832.0,4.0,4.0,116951,13483,6844.0,null,null,null,null,null,null
12815,18736,55347,null,null,6018.0,85.0,85.0,118182,13691,4720.0,null,null,0.0,null,null,null
12815,18736,55346,null,null,460.2,65.0,65.0,118184,13691,4720.0,null,null,null,null,null,null
12821,19817,58112,null,null,1000.0,2.0,2.0,59675,4848,0.0,null,null,null,null,null,null
12821,19036,56020,null,null,3860.0,3.86,3.86,59682,4848,7500.0,null,null,0.0,null,null,null
12821,19817,58112,null,null,1000.0,2.0,2.0,59689,4848,7500.0,null,null,null,null,null,null
12821,14311,42571,null,null,4000.0,0.8,0.8,59700,4848,7500.0,null,null,null,null,null,null
12821,18184,53710,null,null,5900.0,1000.0,1000.0,59731,4848,7500.0,null,null,0.0,null,null,null
12821,21620,63420,null,null,0.0,0.0,0.0,59885,4848,7500.0,null,null,0.0,null,null,null
12821,21620,63419,null,null,15000.0,100.0,100.0,63675,5471,22500.0,null,null,0.0,null,null,null
12821,21483,63059,null,null,11990.0,1100.0,1100.0,63973,5471,22500.0,null,null,null,null,null,null
